X,Y,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8844975.83617071,5415711.72070458,1,GO-20141260715,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,3,2014,January,1,1,Wednesday ,3,D13,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,092,Corso Italia-Davenport (92),092,Corso Italia-Davenport (92),-79.4557698128996,43.6777746164058
-8848372.82568425,5417022.89104598,2,GO-20141263743,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,18,2014,January,1,1,Wednesday ,18,D12,"Apartment (Rooming House, Condo)",Apartment,1460,100,Assault Peace Officer,Assault,115,Mount Dennis (115),115,Mount Dennis (115),-79.4862854885326,43.686292594921
-8823419.21697217,5422568.05190277,3,GO-20141261853,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,15,2014,January,1,1,Wednesday ,1,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,124,Kennedy Park (124),124,Kennedy Park (124),-79.2621234083973,43.7223031942191
-8840818.56704035,5413524.1458251,4,GO-20141262608,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,14,2014,January,1,1,Wednesday ,14,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,095,Annex (95),095,Annex (95),-79.4184244289321,43.6635604088058
-8814320.34929787,5435513.79332315,5,GO-20141260033,2014/01/01 05:00:00+00,2013/12/31 05:00:00+00,2014,January,1,1,Wednesday ,2,2013,December,31,365,Tuesday   ,22,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,144,Morningside Heights (144),131,Rouge (131),-79.1803868891903,43.8062893908425
-8847703.05059454,5416565.99272834,6,GO-20141260128,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,1,2014,January,1,1,Wednesday ,1,D12,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.4802687965012,43.6833245058269
-8837970.88177303,5411024.99976092,7,GO-20141259767,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,2,2014,January,1,1,Wednesday ,2,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3928432373344,43.6473175864212
-8843062.67791728,5409385.27942813,8,GO-20141260113,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,1,2014,January,1,1,Wednesday ,1,D14,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,085,South Parkdale (85),085,South Parkdale (85),-79.4385836204709,43.6366580841751
-8837741.90893506,5411303.11756662,9,GO-20141259762,2014/01/01 05:00:00+00,2013/12/31 05:00:00+00,2014,January,1,1,Wednesday ,2,2013,December,31,365,Tuesday   ,23,D52,Bar / Restaurant,Commercial,1430,100,Assault,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3907863389194,43.649125388229
-8837741.90893506,5411303.11756662,10,GO-20141259762,2014/01/01 05:00:00+00,2013/12/31 05:00:00+00,2014,January,1,1,Wednesday ,2,2013,December,31,365,Tuesday   ,23,D52,Bar / Restaurant,Commercial,1430,100,Assault,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3907863389194,43.649125388229
-8840080.18552584,5413995.45369152,11,GO-20141260137,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,1,2014,January,1,1,Wednesday ,1,D14,Ttc Subway Station,Transit,1430,100,Assault,Assault,095,Annex (95),095,Annex (95),-79.4117914347889,43.6666231112735
-8837258.8159635,5411573.87433059,12,GO-20141259483,2014/01/01 05:00:00+00,2013/12/31 05:00:00+00,2014,January,1,1,Wednesday ,1,2013,December,31,365,Tuesday   ,21,D52,Ttc Subway Train,Transit,1430,100,Assault,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3864466409217,43.6508852899889
-8840392.43992578,5430179.1968087,13,GO-20141263143,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,16,2014,January,1,1,Wednesday ,16,D32,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,037,Willowdale West (37),037,Willowdale West (37),-79.4145964643991,43.7716951914715
-8827704.4102312,5418273.1925597,14,GO-20141263744,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,18,2014,January,1,1,Wednesday ,18,D54,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,Assault,061,Taylor-Massey (61),061,Taylor-Massey (61),-79.3006179542788,43.6944140148806
-8838125.64948372,5412177.83243115,15,GO-20141263725,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,19,2014,January,1,1,Wednesday ,18,D52,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,Assault,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3942335387789,43.6548107944083
-8850460.85149563,5420267.41484981,16,GO-20141263706,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,18,2014,January,1,1,Wednesday ,18,D12,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,113,Weston (113),113,Weston (113),-79.5050425436361,43.7073653479291
-8830475.17261719,5417720.01014666,17,GO-20141263672,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,18,2014,January,1,1,Wednesday ,18,D54,Bar / Restaurant,Commercial,1430,100,Assault,Assault,059,Danforth East York (59),059,Danforth East York (59),-79.3255081361878,43.6908209160971
-8837313.85554801,5419184.80169476,18,GO-20141263693,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,18,2014,January,1,1,Wednesday ,18,D53,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,Assault,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),-79.3869410697636,43.7003347422255
-8857146.51532231,5412672.92531131,19,GO-20141263380,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,17,2014,January,1,1,Wednesday ,17,D22,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,011,Eringate-Centennial-West Deane (11),011,Eringate-Centennial-West Deane (11),-79.5651008839476,43.6580285225378
-8827255.55379168,5434738.60395401,20,GO-20141263609,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,17,2014,January,1,1,Wednesday ,17,D42,"Gas Station (Self, Full, Attached Convenience)",Commercial,1430,100,Assault,Assault,130,Milliken (130),130,Milliken (130),-79.2965858081612,43.8012636274022
-8829963.71877897,5428278.12269902,21,GO-20141263357,2014/01/01 05:00:00+00,2013/12/29 05:00:00+00,2014,January,1,1,Wednesday ,17,2013,December,29,363,Sunday    ,12,D33,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,150,Fenside-Parkwoods (150),045,Parkwoods-Donalda (45),-79.3209136681278,43.7593621211978
-8849470.66362315,5405415.56235531,22,GO-20141263427,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,17,2014,January,1,1,Wednesday ,17,D22,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),-79.4961475350639,43.6108438963299
-8833007.46661265,5418152.14726624,23,GO-20141263536,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,17,2014,January,1,1,Wednesday ,17,D54,"Open Areas (Lakes, Parks, Rivers)",Outside,1430,100,Assault,Assault,058,Old East York (58),058,Old East York (58),-79.3482561199249,43.6936278047032
-8842299.74589095,5430869.94697076,24,GO-20141264108,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,20,2014,January,1,1,Wednesday ,20,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,037,Willowdale West (37),037,Willowdale West (37),-79.4317300847754,43.7761757489769
-8842916.4264816,5411028.35502835,25,GO-20141252092,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,20,2014,January,1,1,Wednesday ,20,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,084,Little Portugal (84),084,Little Portugal (84),-79.4372698209088,43.6473393960888
