X,Y,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8851702.05357658,5419157.05867234,1,GO-20141262644,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,14,2014,January,1,1,Wednesday ,14,D12,"Apartment (Rooming House, Condo)",Apartment,1610,150,Robbery - Purse Snatch,Robbery,113,Weston,113,Weston (113),-79.5161924523711,43.7001545651709
-8838988.35260555,5411068.10619421,2,GO-20141260912,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,6,2014,January,1,1,Wednesday ,4,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,100,Robbery With Weapon,Robbery,164,Wellington Place,78,Kensington-Chinatown (78),-79.4019833326708,43.6475977873627
-8837001.71313548,5413576.28039602,3,GO-20141262818,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,14,2014,January,1,1,Wednesday ,3,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1610,210,Robbery - Business,Robbery,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.3841370470296,43.6638992030029
0.00000000632778,0.000000005664924,4,GO-20141260577,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,4,2014,January,1,1,Wednesday ,2,NSA,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,180,Robbery - Swarming,Robbery,NSA,NSA,NSA,NSA,0,0
0.00000000632778,0.000000005664924,5,GO-20141260577,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,4,2014,January,1,1,Wednesday ,2,NSA,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,200,Robbery - Mugging,Robbery,NSA,NSA,NSA,NSA,0,0
-8827481.52790521,5422650.43953228,6,GO-20141266749,2014/01/02 05:00:00+00,2014/01/02 05:00:00+00,2014,January,2,2,Thursday  ,10,2014,January,2,2,Thursday  ,10,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1610,100,Robbery With Weapon,Robbery,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),-79.2986157677257,43.7228380613655
0.00000000632778,0.000000005664924,7,GO-20141270511,2014/01/02 05:00:00+00,2014/01/02 05:00:00+00,2014,January,2,2,Thursday  ,23,2014,January,2,2,Thursday  ,21,NSA,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,220,Robbery - Other,Robbery,NSA,NSA,NSA,NSA,0,0
-8827847.36872503,5430040.98232031,8,GO-20141265410,2014/01/02 05:00:00+00,2013/12/31 05:00:00+00,2014,January,2,2,Thursday  ,4,2013,December,31,365,Tuesday   ,12,D41,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,1610,200,Robbery - Mugging,Robbery,119,Wexford/Maryvale,119,Wexford/Maryvale (119),-79.301902171505,43.7707986207237
-8832505.45322384,5430824.64629674,9,GO-20141270022,2014/01/02 05:00:00+00,2014/01/02 05:00:00+00,2014,January,2,2,Thursday  ,20,2014,January,2,2,Thursday  ,20,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1610,150,Robbery - Purse Snatch,Robbery,47,Don Valley Village,47,Don Valley Village (47),-79.343746456519,43.7758819156433
-8818412.29603971,5435205.37722415,10,GO-20141269818,2014/01/02 05:00:00+00,2014/01/02 05:00:00+00,2014,January,2,2,Thursday  ,19,2014,January,2,2,Thursday  ,19,D42,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1610,180,Robbery - Swarming,Robbery,146,Malvern East,132,Malvern (132),-79.2171454721827,43.8042898964173
-8853455.44053086,5410705.62972335,11,GO-20141274457,2014/01/03 05:00:00+00,2014/01/03 05:00:00+00,2014,January,3,3,Friday    ,16,2014,January,3,3,Friday    ,14,D22,Convenience Stores,Commercial,1610,210,Robbery - Business,Robbery,158,Islington,14,Islington-City Centre West (14),-79.5319433949728,43.6452415722413
0.00000000632778,0.000000005664924,12,GO-20141602781,2014/01/03 05:00:00+00,2014/01/03 05:00:00+00,2014,January,3,3,Friday    ,11,2014,January,3,3,Friday    ,9,NSA,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,1610,110,Robbery - Financial Institute,Robbery,NSA,NSA,NSA,NSA,0,0
-8809923.53832313,5432957.44143453,13,GO-20141272785,2014/01/03 05:00:00+00,2014/01/03 05:00:00+00,2014,January,3,3,Friday    ,9,2014,January,3,3,Friday    ,9,D43,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,1610,110,Robbery - Financial Institute,Robbery,143,West Rouge,131,Rouge (131),-79.1408896644095,43.7897142630234
-8860969.54768157,5423904.61367856,14,GO-20141272968,2014/01/03 05:00:00+00,2013/12/24 05:00:00+00,2014,January,3,3,Friday    ,11,2013,December,24,358,Tuesday   ,22,D23,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,1610,200,Robbery - Mugging,Robbery,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.5994437678957,43.7309796694822
