X,Y,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8828387.42343475,5424470.68790335,1,GO-20141263217,2014/01/01 05:00:00+00,2013/12/31 05:00:00+00,2014,January,1,1,Wednesday ,16,2013,December,31,365,Tuesday   ,17,D33,"Apartment (Rooming House, Condo)",Apartment,2135,210,Theft Of Motor Vehicle,Auto Theft,043,Victoria Village (43),043,Victoria Village (43),-79.3067535664125,43.7346540393633
-8820524.40125883,5422494.74796038,2,GO-20141262914,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,15,2014,January,1,1,Wednesday ,15,D43,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,123,Cliffcrest (123),123,Cliffcrest (123),-79.2361188363498,43.7218272951885
-8853204.78354663,5406667.72204717,3,GO-20141262837,2014/01/01 05:00:00+00,2013/12/25 05:00:00+00,2014,January,1,1,Wednesday ,15,2013,December,25,359,Wednesday ,0,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),-79.5296917052301,43.6189876087985
-8829171.43291611,5417301.22382773,4,GO-20141266240,2014/01/02 05:00:00+00,2014/01/02 05:00:00+00,2014,January,2,2,Thursday  ,9,2014,January,2,2,Thursday  ,9,D54,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,060,Woodbine-Lumsden (60),060,Woodbine-Lumsden (60),-79.3137964433888,43.6881006204918
-8824733.01171757,5436634.96243381,5,GO-20141266097,2014/01/02 05:00:00+00,2014/01/02 05:00:00+00,2014,January,2,2,Thursday  ,8,2014,January,2,2,Thursday  ,1,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,129,Agincourt North (129),129,Agincourt North (129),-79.2739254273399,43.813557488115
-8860513.20411574,5425956.76839587,6,GO-20141265947,2014/01/02 05:00:00+00,2014/01/01 05:00:00+00,2014,January,2,2,Thursday  ,8,2014,January,1,1,Wednesday ,15,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.595344363765,43.7442990681761
-8851285.59956915,5416903.98772705,7,GO-20141265795,2014/01/02 05:00:00+00,2014/01/01 05:00:00+00,2014,January,2,2,Thursday  ,7,2014,January,1,1,Wednesday ,19,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),-79.5124513821846,43.6855201930752
-8851370.03629348,5425199.5216569,8,GO-20141276144,2014/01/03 05:00:00+00,2014/01/02 05:00:00+00,2014,January,3,3,Friday    ,19,2014,January,2,2,Thursday  ,23,D31,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.5132098896586,43.7393845436018
-8822541.76702343,5430940.94632307,9,GO-20141276685,2014/01/03 05:00:00+00,2014/01/03 05:00:00+00,2014,January,3,3,Friday    ,21,2014,January,3,3,Friday    ,17,D43,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,156,Bendale-Glen Andrew (156),127,Bendale (127),-79.2542411407459,43.7766362676131
-8830702.73158632,5423236.18620277,10,GO-20141276128,2014/01/03 05:00:00+00,2014/01/03 05:00:00+00,2014,January,3,3,Friday    ,19,2014,January,3,3,Friday    ,19,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),-79.3275523325367,43.7266406369055
